producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo,responsable,categoria
MLC1677507405,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Oppo,309990,449990.0,31,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=9G4v8zVkmYfMfsDwFSod%2By0XuQhUCYt9CZ8R4Tzp8Y%2BDiYTie43QN4kJMQcUmfqv251ZWAfl3G2pPP3%2BBVgUcfe30E5u%2BV2zDuuCm3%2BA18u%2FatPgZI%2BMbDIIaUM%2Brex2h7N7PL2E5ClJcuaoe9o3PPRjSZSgp7GL8QFNm4waq%2Bm%2BqslckH51xMC%2BVO4sXwQp61KGp1mS9kajYIrYk1jUvOqP216vixLpNVWrO%2FvgQBbG4H7srxKd7yAOI7G%2F7INfbSOHj8xCOen9p3CEv9oElOzB9n729G%2FFmAGi5lOYb3nBUEbty5vxQTEywFrVRagNGdFhrgZMb33AZeif2x4XauACY%2BkJzxVrRL4k5U%2Fi%2BOQ9Km%2BN5CAp2xBDR5Kl0FbTWORODh5fzLinCTiCSTYQQJsH6%2FOwuCp47asX7llZtwVzR0vlp2ulaOufdBFRyY9i46XUTQ4kYp6ARFt2BdXWVFIsysTOqtcRVn%2Bf7rIHpxAbgI8Ibbm6G12%2BLLSQuB6hgEbV3vAen0UpyO%2Bt7CfG7rFUJAF6VWh%2BG0UcXwysAgAX9XTHdcSuhK0ceh0iLxtjDMTZCyg4A%2FgiqqFHvDdPTQteAKzv79zxmzqhiZYVULcvhhHDRMM6%2BYr221FkmXCCKlpScjakmt4hbzMgRGCbRIDrRwgJupOusvrXbA0bANplvkhVineiN2mzWPIQ1CXZzzsyJEvTIvaE8T1KlD2qaOodmphH8nBXrlVKCzITkK9B9X%2BLpVghg7crDhCuLu2zZNnWl2gfN5%2F6yY%2Bbx%2B25QmIaTk30lP1mgbI%2BbG%2FwPHNdabWPNTwvWjtMCsFsouG1JX2GlyUSzHlJ%2BGytk0oHh%2FbWdrBvp3H%2BhB4DlG%2BuCnykR2cTqiIy2YE%2BmkVQJUoUG9EOhLn1WX8gz%2FqP6KmgixAFZO10pDK4t2EL1wvZLtN9pPdtRLUZD0NpFmgp8A3CeEEHV1fijAglDw%3D%3D&pdp_filters=item_id%3AMLC1677507405#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC52676293&backend_model=search-backend&be_origin=backend&search_layout=grid&position=1&type=pad&tracking_id=2c33bd20-faf6-4839-a018-57232559d41d&wid=MLC1677507405&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,1,2026-04-26T17:15:11.010618,E-Commerce,Valentina,smartphones
MLC3807287652,Teléfono Oppo Reno14 F 5G 12+256GB Verde Smartphone Cph2743,Oppo,425690,569990.0,25,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=fmBiTWq0jxbgD%2F%2FIGA2irwcEF9SKYrn52UQA1toBml2yuvE7nANKEngVYmlLAE322iCbDmhQ3m5m9iHNkNSSv0CCP7OWrRPbPWWfIuF25AwpWlY%2B1U%2BBnaIVAOZrHojT5Tfk1MbwQiRQ8ZIV6425TnH%2B4d2xHiS%2BGOLcESgA1Pp%2FsoLILXuRCRt5HbDG9AbDPvxFIfgLu4s7rTqz23ptz%2FlLlaDEQ0nPkUiCPOJEXcT29dWp9MBem90MPPdRBDh9WiHYcPZ03fL717kkckbxVqWS1Rt7m5q4Y1bptSM5Af77%2FFB4bKWZpjv08c11o%2BAtN7V3aRJ8h9m3taL3h73xLJCpXctb9qSWewOomw4TXm3sNPwoV108waFmX%2Fyv%2F4MFBY%2FpG4X6uEkBv9fY1f1YixbtVMF1Godu6hHIEQX%2F196J29PYfSmdxW0athTx879MxDj2hojuUIkMLARlBJBMGBXtCCv3bEvMg%2BNKPF0B71n4LGlCeGhT8GYJP5y2Xoufy%2FHPNhi%2BZ%2FbvskWhN%2BuQ4Px5CljJRRMsiTL6P8sqLNNw1cEKMTpQciXzgX3A83L7lBmC7w9pk8ToSsA4qwrKfndyIfzUr7PzitmUViGJwF84w6oFGGAYd3DIJv9%2By3XJXIDII8T7ti1cuXweINZxSvS8wgF%2FSUD8g5YT%2Bvf2deAyRN4spivPOiJ1L0QWCfKb%2Bo3rP4CgNVbvlffCMZt6TdwAd2%2FlZXcYrsL%2FOORZX%2FYZBQjueD1Ky1gJDik0eDWJAmtR2cxQ0cS0tiwdDLShjr3Mal%2FkSucvBLyePYix9h9BTpX%2FtOA1StBoQ6vW6dRNDLKLjSdERRjmFo%2Fcz%2FVvu5MKGJzC41aiuUL1Ijt%2FMWjXOJ0kiNB5FIudwl%2Fwpu2Ax7%2Bx5qb72FQrO%2Fcr3m3fju1L9wzfKxCF570dJKMqZOLS2HP2ukbxWTUozKBaGkQIRbA3k7ub6lmZ3wrWYdjFFUwJ&pdp_filters=item_id%3AMLC3807287652#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC53823914&backend_model=search-backend&be_origin=backend&search_layout=grid&position=3&type=pad&tracking_id=2c33bd20-faf6-4839-a018-57232559d41d&wid=MLC3807287652&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_917873-MLA110436830739_042026-E.webp,1,2026-04-26T17:15:11.010618,E-Commerce,Valentina,smartphones
MLC51350188,Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,Ulefone,419385,,0,False,https://www.mercadolibre.cl/celular-ulefone-armor-x32-pro-5g-dual-sim-telefono-robusto-256-gb-rom-88-gb-ram-565-smartphone-android-14-25mp-camara-de-vision-nocturna/p/MLC51350188#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=product&tracking_id=2c33bd20-faf6-4839-a018-57232559d41d&wid=MLC2930768982&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_843833-MLA99498685528_112025-E.webp,1,2026-04-26T17:15:11.010618,E-Commerce,Valentina,smartphones
MLC1827621623,Celular Xiaomi Redmi Note 15 5g Negro 256 Gb Rom 8 Gb Ram,Xiaomi,263747,349990.0,24,True,https://www.mercadolibre.cl/celular-xiaomi-redmi-note-15-5g-negro-256-gb-rom-8-gb-ram/up/MLCU3739079138#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=2c33bd20-faf6-4839-a018-57232559d41d&wid=MLC1827621623&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_906900-MLC108659368732_032026-E.webp,1,2026-04-26T17:15:11.010618,E-Commerce,Valentina,smartphones
MLC52676293,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Oppo,309990,449990.0,31,True,https://www.mercadolibre.cl/telefono-oppo-reno13-f-5g-12256gb-morado-smartphone/p/MLC52676293#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=2c33bd20-faf6-4839-a018-57232559d41d&wid=MLC1677507405&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,1,2026-04-26T17:15:11.010618,E-Commerce,Valentina,smartphones
MLC55776819,Teléfono Robusto Celular Ulefone Armor 33 Pro 5g Dual Sim 16+16gb Ram 512gb Rom 25500mah Batería 50mp 64mp Cámara De Visión Nocturna Smartphone,Ulefone,470735,905265.0,48,True,https://www.mercadolibre.cl/telefono-robusto-celular-ulefone-armor-33-pro-5g-dual-sim-1616gb-ram-512gb-rom-25500mah-bateria-50mp-64mp-camara-de-vision-nocturna-smartphone/p/MLC55776819#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=2c33bd20-faf6-4839-a018-57232559d41d&wid=MLC3209768544&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_787535-MLA101567150585_122025-E.webp,1,2026-04-26T17:15:11.010618,E-Commerce,Valentina,smartphones
MLC53175901,Celular Ulefone Armor 27 Pro 5g 10600mah Dual Sim Android 15 64mp Cámara Nocturna+dual 50mp Camera Hasta 24gb Ram+256gb Rom Nfc,Ulefone,346694,533389.0,35,True,https://www.mercadolibre.cl/celular-ulefone-armor-27-pro-5g-10600mah-dual-sim-android-15-64mp-camara-nocturnadual-50mp-camera-hasta-24gb-ram256gb-rom-nfc/p/MLC53175901#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=2c33bd20-faf6-4839-a018-57232559d41d&wid=MLC1848262391&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_637360-MLA110878159779_042026-E.webp,1,2026-04-26T17:15:11.010618,E-Commerce,Valentina,smartphones
MLC1569327207,Celular Adulto Mayor Senior Tercera Edad Bt Teléfono,Celular,55000,,0,False,https://www.mercadolibre.cl/celular-adulto-mayor-senior-tercera-edad-bt-telefono/up/MLCU2965142896#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=product&tracking_id=2c33bd20-faf6-4839-a018-57232559d41d&wid=MLC1569327207&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_943768-MLC92296157546_092025-E.webp,1,2026-04-26T17:15:11.010618,E-Commerce,Valentina,smartphones
MLC48915655,Ulefone Armor X31 Pro 5g Dual Sim Teléfono Resistente Android 15 Smartphone 6.56 16gb Ram 256gb Rom Cámara Nocturna 6050mah Nfc Negro,Ulefone,244258,444113.0,45,True,https://www.mercadolibre.cl/ulefone-armor-x31-pro-5g-dual-sim-telefono-resistente-android-15-smartphone-656-16gb-ram-256gb-rom-camara-nocturna-6050mah-nfc-negro/p/MLC48915655#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=2c33bd20-faf6-4839-a018-57232559d41d&wid=MLC3455179472&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_641857-MLA102130571462_122025-E.webp,1,2026-04-26T17:15:11.010618,E-Commerce,Valentina,smartphones
MLC-3037192742,Ulefone Armor 30 Pro 5g Teléfono Rugged Dual Sim Smartphone,Ulefone,444974,741632.0,40,True,https://articulo.mercadolibre.cl/MLC-3037192742-ulefone-armor-30-pro-5g-telefono-rugged-dual-sim-smartphone-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=11&type=item&tracking_id=2c33bd20-faf6-4839-a018-57232559d41d,https://http2.mlstatic.com/D_Q_NP_2X_630749-CBT84700783522_052025-E-ulefone-armor-30-pro-5g-telefono-rugged-dual-sim-smartphone.webp,1,2026-04-26T17:15:11.010618,E-Commerce,Valentina,smartphones
