producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo,responsable
,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Teléfono,449990,449990.0,26,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=1dMw21sn1dntq2wt4SRCkY6FYxiXAXGUJHQRH8a1poqbqoD5kVFeyMsIBkGutvM3tocZvwP7EgmVJk1JYUe%2BUsxxYETk5fjF5%2BFOqJueTdzSHLoxVVwpnmvlQYCXtJTYK7OXqg7m0WK%2BKYKGc%2B%2BFCNXzxCfgz8xuQj7Tm4mgwB5V%2BYK1rCVjOZ%2BND7PAcdACZiVEDtGj%2BYA2c9t5PotspumB0sFukpiTYMKQrwbUfDpg8x%2Fq68A7GDdzlgYrePSJQCa3HC8k2c4foNh9CEIy8Wzc9oXp924Ppqrmfs3GIsVUkcX13AqxPUYqiXcVMbDY5dPGDJ1uJu9kJM2b%2BQ6a1OKYn2rEe8yMbSbx62ez4Nu4JnNWHcmZaKODNwzUc1Uy4xYluHebV57%2F%2BAStVv944r%2ByxCUxOUC1el9J56hrAM7aPoi1oW2iPEuVk6g5Bk4rSC9bEgTbfYl3xEWq0spuG8abRsks3YX0fya8Y2hjycLavuNfiyLxn11SFHr8C3CYh0gUtlf5lo13ihT9H7CYkZyDApfHZc4QAMeG8NqQJaN0c1QeodIwHGiXHR6KInRn4G6WRGKOSzOeWbXrGThGXFnCReBRALtkA%2BvDETSMlykKsn7vFIWHnbhbQ6%2FgLnL8TPCfyb8k58elbT7l2EwywCi9qt9WH%2FPoryo8RvtgHIObF9utKQH9zV2tmZsSLWGmDVAD7xcPjB1scWFh7wChk809IKVi5opN6pUXtalqzUSatDI4onNpWWzhDJToPDUVxlpF1WwqVGlV%2FHPDxxVawyGxCNuOrK2h4it2hVGIepLtL9EufIC5DjpNpvkIBTHigxc0%2Bo1CZxyPS8YA4rncXB7SQdyAF0ho%2B9ll0zDw9oXoh7hmryzI3aOeoGrqt7Zny%2BHrDVGbKzsuTefrv1Axb9hRiy%2FIOzhF6nU%2F%2Fg9PaEeahqDgKE6E#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC52676293&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=c309ef48-ec4f-43f4-b106-c338996d370a&wid=MLC1677507405&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,1,2026-04-22T01:32:41.819510,E-Commerce,Valentina
,Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,Celular,413394,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=uZ41smG1931e3sslkyaYg3YgY2FtnYp7sO7jvFkmKqvvMpyHOGxvnJRCb7bYf4p%2B6KCOOrW4%2FcodcKCvNrtbDhe5XZbhO7xFXielKVxl1dU899%2BS2hRy%2FWWmb0JOH%2BW%2BZ7qIfoX6QxtLdWqzr70pBiJMho65hY6XngZB2rXsfqDjYONOdweKUKEUdRiecG%2B2zAyY9JRfH799bi61tUIo2FdIdd36dMk7m3dTvHhUwsJHID4v%2Bge8ZaKYJDC2CxXjXAEPNHdWg%2BdCseXof6%2Bl7Y6WWj0lGcwuJ%2FdzCaydhG7ZMDGMfQt80AfA%2BkSc%2BUgGWUGl98fbH4J2oLl3tp8rZqb%2BDSyh5lt5sY7FB9qYGEPlpB9lr0F4DllSKecJe0Q9lKPqcZu15dbd4s9npO7%2FTcLGccXZuuMh3b2Yj8QIBWeFxT3ZXmuSKvZYOaNtfAo%2BsKPLZfzOgotwFTIblC3NjjeAxlGepEh0WMO%2B6A3xZOIhIR5hTXHW6Dv%2B4nUlAvlcEDoqHhwOjX0mf7dmipt6sEvEInDCQEHke85%2FvsR1u7VzMa1l32aCqpW174RW%2Buo9KMAalKxbtrll4P1m4%2Fnb8BRSET%2BEAxwG0hYuWWKHwP31UIfTiRhas2I%2FqwETGWySzXCcyB3R9J3qCKtSkXWQ8d3vbpsT9I0nvye962Yez63dqVkXtJTPFR6hCTA1LBqoFzS7IxXjS%2B1bek5HZw4dVr7dhLs6t2HOijxu969RBCP%2FUb2as5Xp4yDK2flNhs%2BDo%2B7MW2D8eM71idOJ%2FbibizjrBkf0u6pyaX6%2B3SCP1cc%2Fi8qCfVpfFgwFHCuHYPNB8pqQplnLOc8iS97W3IOyqRTqJqqCodJyG21jr%2BgOioYnHcZ2U8EnAd7Zt4KhXx6zZE7hC9Z30sKcSmbf%2Bl%2BYQ4%2FnXLwE9dJ6VVuR4FUVvvnYDbrtRe3QSmVhb7x52qU7gR93AMfXRDDYv7SZ1%2B5Jn4o15lRKGUNghHDGTsfyqUy9oLLBB2xm4pcY9OjDc7hngX1DwXIMYWnf4P9ykwFVVWQktiI6dT6b2s6WlIk%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC51350188&backend_model=search-backend&search_layout=grid&position=2&type=pad&tracking_id=c309ef48-ec4f-43f4-b106-c338996d370a&wid=MLC2930768982&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_843833-MLA99498685528_112025-E.webp,1,2026-04-22T01:32:41.819510,E-Commerce,Valentina
,Kit Grip Magsafe + Luz Led Espejo Y Disparador Para Teléfono,Kit,76990,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=ygEOWjkN8pK0Y52fzaMSk%2F272fROSNggXB%2FfiqM63Czw4uj8T6shS28c79YaqNyQBBs5VlCcOqHZoVeDY%2F9qeTtTKyh9fRMSsoen6Toa7fsedwv7ktGbZw3OinndttX50aCCTVI4HKIJxnY4GkZMs%2BDf6V1ST5soxn8s7u3F0UeN8FQVKCnKf5ya6TKasr78EMQWm7kmsOLFANqdG2saPee38wUyR%2F8%2BlaUAXmWcj2wj32rc3zJ%2B%2BJ%2B3Fh3quuQy4Wzf8P75DV%2FNg6Gf7v1H6zfBr89HMQHiVUaFKUPtnOtDZhUFCuxljzIgjivRzriCkye5hO6VkzNlmC6dqck04VBM8BRXb0Pwbzpn3onFRblZE00gHFX1YUfCtkiPFJbNopT3uCgHxLkfL7oBNxu5D07G6nYD3Qwp0xSlafhAISMeCrD25jPMHZiq0fnQr1EDwvyWBta8R3sDnF6uezzu6QSpdHqBxTtasY8U3PzDYS5Epk9nQPFqYW2%2F2%2B8W6w2RvozmrTU06abirnOppiFdMoIKeV2NzTkj3l9%2BnFxB0vaqkKdrUzfvEylEH1jsdm0aXyUWUkhJPjoKbhHGK1ekKT4OJlrNlt1FLXI83bdIaViKzsewTLxT2%2FHWJ84SZEzUBHuja%2FOOUaNi3WDddB9mDsszRY3bEibNMTOJqeU6U3Jy705g9VHYdfpnVvWrJxWL%2FKU3DUgUyLteiCgq%2Ba5mJYtY15s56I2Ci2bD5WIPWMKKAehTIAB5Lb1bdx6rV0Mv90wZInccqKLlZx2h4J%2BhYoHAwPgb15VZGTPDE89FT2z8eG0%2F5hp2GbG6UoW%2BDxbe9lVsrFfhIrM7e5CybETJGr35mRNul4%2BAPNg8%2FVcmBpp2%2FvOGdrA4h5W%2Bu4utoduUW2ROdp8rxwWBZl3oGrRMGmSbcu7tzfRD1gSooh%2FlDR77TQVbF%2Bfp1GUXKrUm1c1oPT7xawGK#polycard_client=search-desktop&is_advertising=true&searchVariation=MLCU3262296981&backend_model=search-backend&search_layout=grid&position=3&type=pad&tracking_id=c309ef48-ec4f-43f4-b106-c338996d370a&wid=MLC2942222138&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_975799-MLC90289222140_082025-E.webp,1,2026-04-22T01:32:41.819510,E-Commerce,Valentina
,5 Lapiz Touch Táctil Tablet Celular Smartphone Pack 05,5,4990,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=tYI0vrrI2RUOPw7tbW16TEXsUgMbz3Ys0WvKdvuRRvnbBsZ7iMnhH4H5Bumra0HQ4G%2Bh5XBa%2FBXY4JjCbd0b1pGhrpnsgoX1nueOGy92OSGE8UvXE1tHk483GDFA2xZq6XEQLvEKvgsKcVIefcqnby5pBM8K4wdlTDgAdYUBmpizzo9RQ%2FfOEu4YtbLfa7JjBEekqlVQlkHfmelTHquJAvJP9ClPlaZWtzCR8GuIFoxAMHDcnD41JwHqwvwWjvgknroWM4%2FPz7JzOP30E4NyEFyvNz9JhMGFyElKz%2FT%2BuqexKmx8%2FAiZXljABg1YigLuxdPzcjEzy1GVOt9wtahqqgo1pV%2B80pZVJlxdMVS%2FmoXiFfNjhsdS4hy1KpihctDVCDieLspbjqejNuoJGI4iA11USP0QtMR1xlZLn82fUO5P3A4%2BRRV0x9sAY5ZIc47iZw0sGc0XlFz4foPmt200jjGu8p3zcrXl564AXDYC0%2BmfxGYrjWWirZqybhssbbkwdjBeS%2BCylDZyngApvcSwVvXygXyFvSJljwNicRHK2%2BoV724BPmmIPht8eTlqjcEdXShbfBsfzrF16vDxE0DtciS2cNOFZZox7Ayza4hXxs8e1p%2FsI63Kf%2FEWaDJDidG0Go3GuYsjDrkFlppJ96XK4otT9XwP5mJ4YLBC7E%2B68q2Lxa%2FOY%2BbdzBAYk7yeGEy1w3rCXH47lzAFn%2F2BCIMQIWFCr3IAE5khuHX%2BZptBkrymoaN8ohsjNS1hGTRZ3jPbooe%2B6jbEFC93%2FtZcQj9Tbkkw3oQhOZYKqVjErmwcF1oH5DaGWse5uJ6BYPssd%2FH5m1sf92Nhl6ixFrrPiYNoxIDQtPN1FXGb%2FfmUDHKpxsqJ8aq%2BlL%2BNiAG4PohJDyutVB%2FFeUbDcMuFRAYtJ0l9dRZ%2Ba9A0fx5RW%2BkfB403myVoZBiuceyt82e7Uin6oTUd#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC2042139276&backend_model=search-backend&search_layout=grid&position=4&type=pad&tracking_id=c309ef48-ec4f-43f4-b106-c338996d370a&wid=MLC3429335322&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_774876-MLC97922071000_112025-E.webp,1,2026-04-22T01:32:41.819510,E-Commerce,Valentina
,Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,Celular,413394,,0,False,https://www.mercadolibre.cl/celular-ulefone-armor-x32-pro-5g-dual-sim-telefono-robusto-256-gb-rom-88-gb-ram-565-smartphone-android-14-25mp-camara-de-vision-nocturna/p/MLC51350188#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=c309ef48-ec4f-43f4-b106-c338996d370a&wid=MLC2930768982&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_843833-MLA99498685528_112025-E.webp,1,2026-04-22T01:32:41.819510,E-Commerce,Valentina
,Celular Xiaomi Redmi Note 15 5g Negro 256 Gb Rom 8 Gb Ram,Celular,349990,349990.0,24,True,https://www.mercadolibre.cl/celular-xiaomi-redmi-note-15-5g-negro-256-gb-rom-8-gb-ram/up/MLCU3739079138#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=c309ef48-ec4f-43f4-b106-c338996d370a&wid=MLC1827621623&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_906900-MLC108659368732_032026-E.webp,1,2026-04-22T01:32:41.819510,E-Commerce,Valentina
,Soportes Para Teléfonos Móviles Para Motocicletas Y Biciclet,Soportes,2839,,0,False,https://www.mercadolibre.cl/-soporte-for-telefono-movil-parasol-paraguas-protector/p/MLC2062696800#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=c309ef48-ec4f-43f4-b106-c338996d370a&wid=MLC3827972696&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_639919-CBT109133785632_042026-E.webp,1,2026-04-22T01:32:41.819510,E-Commerce,Valentina
,Teléfono Robusto Celular Ulefone Armor 33 Pro 5g Dual Sim 16+16gb Ram 512gb Rom 25500mah Batería 50mp 64mp Cámara De Visión Nocturna Smartphone,Teléfono,892333,892333.0,48,True,https://www.mercadolibre.cl/telefono-robusto-celular-ulefone-armor-33-pro-5g-dual-sim-1616gb-ram-512gb-rom-25500mah-bateria-50mp-64mp-camara-de-vision-nocturna-smartphone/p/MLC55776819#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=c309ef48-ec4f-43f4-b106-c338996d370a&wid=MLC3209768544&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_787535-MLA101567150585_122025-E.webp,1,2026-04-22T01:32:41.819510,E-Commerce,Valentina
,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Teléfono,449990,449990.0,26,True,https://www.mercadolibre.cl/telefono-oppo-reno13-f-5g-12256gb-morado-smartphone/p/MLC52676293#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=c309ef48-ec4f-43f4-b106-c338996d370a&wid=MLC1677507405&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,1,2026-04-22T01:32:41.819510,E-Commerce,Valentina
,"Ulefone Armor 27 Pro 5g 10600 mAh, doble SIM, Android 14, teléfono inteligente robusto, cámara nocturna de 64 megapíxeles, cámara dual de 50 megapíxeles, hasta 24 GB de RAM+256 GB de ROM NFC",Ulefone,525769,525769.0,35,True,https://www.mercadolibre.cl/ulefone-armor-27-pro-5g-10600-mah-doble-sim-android-14-telefono-inteligente-robusto-camara-nocturna-de-64-megapixeles-camara-dual-de-50-megapixeles-hasta-24-gb-de-ram256-gb-de-rom-nfc/p/MLC53175901#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=c309ef48-ec4f-43f4-b106-c338996d370a&wid=MLC1848262391&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_706816-MLA88462057576_072025-E.webp,1,2026-04-22T01:32:41.819510,E-Commerce,Valentina
