producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo,responsable
,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Teléfono,449990,449990.0,26,True,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=xag%2BS6ICmocj1fiNrVexJ96o9HHC5YnfNGOfuipVN3G6vXhvIPiSoD4QEdHI%2BZrLEyzju6QUaVjTfn7tUiv7y04U2R3fm3kn9gKsk0ygNIo3fvJhACJhYw1JsIi2rV1C%2BGFnekogMu9W9r4L5Y8lko6PNEz%2FQTRymx2ZFNYmHI4JRo0krE7osTgYOYWbwE2AwqTerx480ydFoyPk4X1mYTYbCCId3AU7AOf1P4V5WrSRyjp6Z44cnHrPeb17Q8yjYHO5E%2BPTqsZOqDcePRvKMn1hXLMlkjvAAICC0URh3Bce6QskX0YvXCk6lMykqypbHNETeomYfeipbW98PvdmnM0wYCipWnwOb1ycP4XKJPb1he6oWWvTQQJMBmRvoGY6mCoj06dhx3%2BqWbfdev5PXA%2BXE6U%2FpoRbRRVtqdj523LxycMcoW5GnjKvEx28e91nBysMsIcV9bWEYe2Gldl1PuC6euorhWLgzxIi0JbuxSP54PV2AKE0gW%2FXUIIAVgTh6odY1CIVA5NR3Q7fVQ1bzmP2NU5kESenNo%2B7%2BSJogJczIu6E42Qa6ugwQymq5RN72T7HtSzpj5ZR3XdJjmlRKD54%2FXO9I8mLG%2F8Mg6wdTluFCGzu8anVYoW4QZvevZakXCesCZr93rK6Oj%2Bf1hi1inWWO1ahF9i5wuW2WD7vzE%2B1EL%2Bs8y2KofRj0ITqmsXigajzaOjjFBPBYWGP9gzajbdKuYvFtcdKh1e5peMpDKdwWpU2tILhZLtqgrxAg%2BgMGUvzYj7xz8swVO2uyhzfXCeK8UDj1HeC5HdBxLYVJsC1zuYEL2SoBFM%2B%2FjDzViCPjlmha%2Fn76dt7ZcFgJGqD89k1zqcjcCqsPSAzZOn7Je7rJiA29eLADUgDwpikr3e9NZOSwVeNxT651qwFK11fukULJW8a4yT5PZ%2FdWN%2BhdeUHZOJ%2FOQqWdA%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC52676293&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=75e845fc-8d3f-491c-941e-e72162a8d1e8&wid=MLC1677507405&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,Celular,413394,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=l2sbO9sN9KaIkLEPTEvzxawNOgA9Sa%2FwIYz9Z8aMgNM1ODNK4NVUoAgX63qpKvLTdziMdfTd999yrjyau2P1cIy5sNpkfpUFaFcDPA%2B6KnrLrngEUktFdTJ1v6Yatm%2Fu3VzO7BuPCUQQq3VfTyhK0p0JDNtoy%2BcL5MKNYO%2FYQcwJwDwIYMbhgWWcqfPoslTaby4ykIQ5Ggsb3vYt2%2BwjF7Dtw2JbMTh92PKNKlimvRM3lXL4xUrxigVgmgTYlLpEWWaRFq3HkGT0WKkOrWUVr%2FWeWmw%2FDV0IlpksxIUJ5HK8dIEYugSlaEN%2FCNwLt9GTF3Q%2FAs08ygoAks42lmXHaYP4jwdhJfTgdIjei%2FPEUcunjZFBVv%2Fh97TrxM99h%2F6otYVrGLTy6Eq4gFNjePafcdUpS9hn7zzqn7up%2Bv4XtLhDloJNZEvDxLlznH%2F0nxVJHzkpU2pRBbKo7oX6a1TFcXQ0wC4vjQVcF3orhBL%2BV0cncZJ%2B9GQz%2B8OsWqr2sBd%2FtGjEAY9cwMZrWaLYj3NAFbF9Vg4srOzzqk20hHDK9M0lcUsYvlopkpkqL1yypeb0AEhl0WNYO1KcAwhSYYpGOCejZFKXegMbweEPGqc1RscmQDaE45OqddgmLPggm5LDOA5HeYoUWq8zOL6UEht7PJm0RpIVGEj1jyf4Lr%2BQhePrq9eMDkd4B1AEMQso2eRxZAbS3b5qDZHaPSSG3QI318HyZDjSAFaIyKV2MiN7SMrRL4iD6b0kDlKTo2hGlZjNUg%2Flq4bzE%2B8ZqNtMYDDNfh%2Frt1WNacLgeUozbZo5tfC5PT30jEnb0GI5QiuGL62L0PNst9CwrRfpgj9a1k8h2gyMTCvNN3r3Pqi3QhrIi6hZ1RAZVovH5qGlPk9DXwmUntFlbeDXdeFdkr3KgOGBy%2FKuUYmYOadyL27H2C2E86gYwm3Mnug6qwuATclPgSrpBjzkCsUEWMdtUCj3DqRxWDGVzn6SFOkygWj51c8XfCyu%2F7L9g%2BieSr%2Bizl2F6uttmmu1Lzxb9lVWBKK%2BYsRDFne3LJatHl2e%2BBVJUg%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC51350188&backend_model=search-backend&search_layout=grid&position=2&type=pad&tracking_id=75e845fc-8d3f-491c-941e-e72162a8d1e8&wid=MLC2930768982&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_843833-MLA99498685528_112025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Kit Grip Magsafe + Luz Led Espejo Y Disparador Para Teléfono,Kit,76990,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=7JETC0fNr7m4olIy%2FsiD4vgWIqZmV8NyP5tSi5GgjQMW53CiUsyZjE1yf6UKQjHiAeLpc3cCpTDVZH7gKfe09rzvYHl7rbAZ5F%2FZ5qwD1g%2FLi39VY2DEATp4jq4hZH%2FszDeXj9ohU3dPInpJgFxqSu5EiPjXFGSx6wzaT8K31otxqn8afgI6k3q%2FEIqEovV9y72mTHncaOtgC9GVzG3jJ%2F2%2FE2v5YTBvQq%2BldIK9u8eeMVQTAaSdbt8pB633ngRzaPIt5ugvm%2BtFRQ3f906p79NXkgOER2ZnGHDFf%2FtszIaKm4PHZoTPEm2zFM9M4pMGJOh3r5WvbFc4i05cKL1lR62hGlxT6uwB%2BX2vVAMTka0Q3vYGkHWLjqchVv1hjb%2B30ijaIXTzx2HmmPXXG%2BrW5GQDF%2BW8XlQ4ClORxVJ1y4rcmt47P89zfUPi8yKVmb2ZOpgQFIyekF5bbmxQsagd6LkATSH1Q%2FDg%2B0caw9WIv0%2FXoeh2lYkAG6U1Cdfq9y83Xqk2u%2FmGxoF43Bww4q3%2B576gkVFENhscU%2BzV4R7skq1Ug0uoDyRHc%2BImMJ5y3n7hET9e3IFySy7cCmvOW%2BuMEBLAv30p0gwH8%2BkXqIvqsgrGK%2Bfk5toevQBbURju59McqyaLtgCYkBaqcDjvBndVvOB8jmQCLy4tIBbZVGYybi4EnanO1OnmVFULTjV0JI94bCh%2B601qbo1b6xMM7HSYfNL6JfswRqNqijPIuYnFcJ1uZjlTiG6y1ajc6OfnEcwd1cKJjAUnvRbP0FkAFfSO6nlgEYH%2BPyvzFWW9gNgk8XLWaqiCz2rUDJl2wGoYZr%2FJqDZJ%2F68ceXHVB8FgOOFPIPsg2J1zCRRU4AxlXKBMbGWci384vvbje1FEjdNBH5cNvdzoyufjXxZZNnM1whLfPE3ahMMHxNqNth5G41NsjnSU0lMv1pI4MAKCWYuQWc97lhLaUQt1#polycard_client=search-desktop&is_advertising=true&searchVariation=MLCU3262296981&backend_model=search-backend&search_layout=grid&position=3&type=pad&tracking_id=75e845fc-8d3f-491c-941e-e72162a8d1e8&wid=MLC2942222138&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_975799-MLC90289222140_082025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,5 Lapiz Touch Táctil Tablet Celular Smartphone Pack 05,5,4990,,0,False,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=i7VzKLpXw1KOSNmAA863ibX%2F1a140FPYj6GTB2cnm8zViBe%2B7kdwlhiQGaat8Io1kNoheA1ap%2B6YYhNS9bBCjyUfACaGGt3pDYfyD3fufS%2FORG1%2FOV275mcEG8mhhJ2wKLbANbdi0ThwBR3el%2FD%2BBkCy4zkUfZY8rb%2BZrd0uNwZ2gYGSG5m5qVncqxwlIeXPe%2B9US9QERd9DIWGGw8vxZPS%2BKqjvNtI5m2WTQj%2FTQ276FDqyFuzmH98KMa%2FKRdIIllowo7DDgN3bE5uj93%2FbNIgkiJnyLXnjRUSoIVzt3AjH88jk1%2BbnBSG2fMWjT3t1vYQvk9%2B6E69n5375378A6TQhDvJevrPY3ob8clNXgsP8mqRfvIbbIcPsC%2BWDDDzxfEQn%2FyoredUH9Lp8HR9bnku9DRW56Pvi045iDBmJPdWkohdiqJ0gWyavvw4iRduEZ30pLVptrkqg%2FjSgsRUlJWVG2KJkKnTbklAdk30hxFw9Tn4xlmHa9pdJ1hmAg3N17OmxsAA60bEbaxFUyyQBSFVzZRBH%2FfLqspsR3qLRlOe459JJ%2FCy%2FApcpeb2kQpjsfTcynebiaQDDdeJqC9%2BMtKjBJt6F9TeA9nmXqHHYCSdsvJvd9QUfUydxm4HpykHnzn11Cctnd51wo3Q7JQBv41CO5M4VNWiHlExCbQ%2BReMA6JqTw3IZ1jRA5EsQZaCcIiC887IO3LRa9vvGi6nwFc9h2ucCqrS%2F%2BoiVFEImS5iEe82bgFNVVBUyAyIUJD0VZvIE70dGMuLFkRntkBNhTQBvzUmDcmWDt8yhFvpT8OUE6027mvSD%2BWHQdY0a5zntAbscbkPyCKPqyU8Y2hng3%2FHT2ieX6mYErRdc1N2qDpCtzd%2BTwcuO62b6I0BVv3i7IfSOmkN79iaEKro%2BnsyJXEw%2F35RsTmiYeL7Xvqg9Lg4D6we3m588NpmDB7natSiG9HRs%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLC2042139276&backend_model=search-backend&search_layout=grid&position=4&type=pad&tracking_id=75e845fc-8d3f-491c-941e-e72162a8d1e8&wid=MLC3429335322&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_774876-MLC97922071000_112025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Celular Ulefone Armor X32 Pro 5g Dual Sim Teléfono robusto 256 GB Rom 8+8 GB Ram 5.65 Smartphone Android 14 25mp Cámara De Visión Nocturna,Celular,413394,,0,False,https://www.mercadolibre.cl/celular-ulefone-armor-x32-pro-5g-dual-sim-telefono-robusto-256-gb-rom-88-gb-ram-565-smartphone-android-14-25mp-camara-de-vision-nocturna/p/MLC51350188#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=75e845fc-8d3f-491c-941e-e72162a8d1e8&wid=MLC2930768982&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_843833-MLA99498685528_112025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Celular Xiaomi Redmi Note 15 5g Negro 256 Gb Rom 8 Gb Ram,Celular,349990,349990.0,24,True,https://www.mercadolibre.cl/celular-xiaomi-redmi-note-15-5g-negro-256-gb-rom-8-gb-ram/up/MLCU3739079138#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=75e845fc-8d3f-491c-941e-e72162a8d1e8&wid=MLC1827621623&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_906900-MLC108659368732_032026-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Soportes Para Teléfonos Móviles Para Motocicletas Y Biciclet,Soportes,2839,,0,False,https://www.mercadolibre.cl/-soporte-for-telefono-movil-parasol-paraguas-protector/p/MLC2062696800#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=75e845fc-8d3f-491c-941e-e72162a8d1e8&wid=MLC3827972696&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_639919-CBT109133785632_042026-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Teléfono Robusto Celular Ulefone Armor 33 Pro 5g Dual Sim 16+16gb Ram 512gb Rom 25500mah Batería 50mp 64mp Cámara De Visión Nocturna Smartphone,Teléfono,892333,892333.0,48,True,https://www.mercadolibre.cl/telefono-robusto-celular-ulefone-armor-33-pro-5g-dual-sim-1616gb-ram-512gb-rom-25500mah-bateria-50mp-64mp-camara-de-vision-nocturna-smartphone/p/MLC55776819#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=75e845fc-8d3f-491c-941e-e72162a8d1e8&wid=MLC3209768544&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_787535-MLA101567150585_122025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Teléfono,449990,449990.0,26,True,https://www.mercadolibre.cl/telefono-oppo-reno13-f-5g-12256gb-morado-smartphone/p/MLC52676293#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=75e845fc-8d3f-491c-941e-e72162a8d1e8&wid=MLC1677507405&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
,"Ulefone Armor 27 Pro 5g 10600 mAh, doble SIM, Android 14, teléfono inteligente robusto, cámara nocturna de 64 megapíxeles, cámara dual de 50 megapíxeles, hasta 24 GB de RAM+256 GB de ROM NFC",Ulefone,525769,525769.0,35,True,https://www.mercadolibre.cl/ulefone-armor-27-pro-5g-10600-mah-doble-sim-android-14-telefono-inteligente-robusto-camara-nocturna-de-64-megapixeles-camara-dual-de-50-megapixeles-hasta-24-gb-de-ram256-gb-de-rom-nfc/p/MLC53175901#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=75e845fc-8d3f-491c-941e-e72162a8d1e8&wid=MLC1848262391&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_706816-MLA88462057576_072025-E.webp,1,2026-04-22T00:19:02.623400,E-Commerce,Valentina
