nombre_producto,precio,rating,numero_reviews,categoria,marca,disponibilidad,descripcion,grupo,fuente,busqueda,fecha_captura
"15.6 Inch Laptop Computer with Windows 11 Pro Laptops, 16GB RAM 1024GB SSD, Office 365, WiFi 6, Bluetooth 5.2, 180° Viewing, IPS FHD, 7000mAh, HDMI, Type-C, Cooling Fan(Gray)",329.99,,,,,,,YHadfeg_Amazon,Amazon,laptop,2026-04-23 19:12:46
"15.6 Inch Laptop Computer, 16GB RAM 512GB SSD, Up to 3.4GHz Processor, FHD IPS Display, WiFi 5, Type-C, Slim Portable Laptop for Students, Work & Home Office",269.0,,,,,,,YHadfeg_Amazon,Amazon,laptop,2026-04-23 19:12:46
"KAIGERR Gaming Laptop, Laptops with AMD Ryzen 4300U(Up to 3.7GHz), 16GB DDR4 512GB SSD Laptop Computer, 16.0inch Windοws 11 Laptop, 1920P FHD Display, WiFi 6, USB3.2, Type_C",429.99,,,,,,,YHadfeg_Amazon,Amazon,laptop,2026-04-23 19:12:47
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",194.95,,,,,,,YHadfeg_Amazon,Amazon,laptop,2026-04-23 19:12:47
"Dell 15 Laptop DC15250-15.6-inch FHD 120Hz Display, Intel Core 3 Processor 100U, 8GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, Onsite Service - Carbon Black",,,,,,,,YHadfeg_Amazon,Amazon,laptop,2026-04-23 19:12:47
